country,country_name,indicator,indicator_name,year,frequency,value,unit,price_basis,base_year,status,source_status,source_indicator,source,source_url,source_file,raw_row,footnote,data_source,reference_year,methodology
IDN,Indonesia,exports_pct,Exports of goods and services,2022,A,24.50291169,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,229,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2023,A,21.80856324,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,230,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2024,A,22.30964878,percent_gdp,current,,provisional,P,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,231,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2025,A,22.8465483,percent_gdp,current,,provisional,P,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,232,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,imports_pct,Imports of goods and services,2005,A,29.92067,percent_gdp,current,,observed,A,NIGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,317,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,
IDN,Indonesia,imports_pct,Imports of goods and services,2006,A,25.62241,percent_gdp,current,,observed,A,NIGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,318,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,
IDN,Indonesia,imports_pct,Imports of goods and services,2007,A,25.39353,percent_gdp,current,,observed,A,NIGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,319,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,
IDN,Indonesia,imports_pct,Imports of goods and services,2008,A,28.75312,percent_gdp,current,,observed,A,NIGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,320,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,
IDN,Indonesia,imports_pct,Imports of goods and services,2009,A,21.35301,percent_gdp,current,,observed,A,NIGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,321,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,
IDN,Indonesia,imports_pct,Imports of goods and services,2010,A,22.40224294,percent_gdp,current,,unknown,B,NIGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,322,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,imports_pct,Imports of goods and services,2011,A,23.85266009,percent_gdp,current,,observed,A,NIGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,323,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
